model,channel,task,n,tp,fp,fn,tn,accuracy,precision,recall,f1
gpt4o,CNN,logo,13318,24,44,3,13247,0.9965,0.3529,0.8889,0.5053
gpt4o,CNN,screenshot,13318,22,18,3,13275,0.9984,0.55,0.88,0.6769
gpt4o,FOX News,logo,23095,188,129,40,22738,0.9927,0.5931,0.8246,0.6899
gpt4o,FOX News,screenshot,23095,130,41,133,22791,0.9925,0.7602,0.4943,0.5991
gpt4o,MSNBC,logo,16339,134,20,10,16175,0.9982,0.8701,0.9306,0.8993
gpt4o,MSNBC,screenshot,16339,96,17,3,16223,0.9988,0.8496,0.9697,0.9057
gemma_4_31b,CNN,logo,13223,21,16,6,13180,0.9983,0.5676,0.7778,0.6562
gemma_4_31b,CNN,screenshot,13223,18,14,7,13184,0.9984,0.5625,0.72,0.6316
gemma_4_31b,FOX News,logo,23081,190,60,38,22793,0.9958,0.76,0.8333,0.795
gemma_4_31b,FOX News,screenshot,23081,99,20,164,22798,0.992,0.8319,0.3764,0.5183
gemma_4_31b,MSNBC,logo,16322,134,12,10,16166,0.9987,0.9178,0.9306,0.9241
gemma_4_31b,MSNBC,screenshot,16322,96,9,3,16214,0.9993,0.9143,0.9697,0.9412
gemma_all,CNN,logo,32639,118,33,51,32437,0.9974,0.7815,0.6982,0.7375
gemma_all,CNN,screenshot,32639,114,52,60,32413,0.9966,0.6867,0.6552,0.6706
gemma_all,FOX News,logo,54300,637,169,73,53421,0.9955,0.7903,0.8972,0.8404
gemma_all,FOX News,screenshot,54300,294,74,243,53689,0.9942,0.7989,0.5475,0.6497
gemma_all,MSNBC,logo,43149,437,13,125,42574,0.9968,0.9711,0.7776,0.8636
gemma_all,MSNBC,screenshot,43149,282,24,30,42813,0.9987,0.9216,0.9038,0.9126
qwen38_27b,CNN,logo,13318,13,9,14,13282,0.9983,0.5909,0.4815,0.5306
qwen38_27b,CNN,screenshot,13318,17,3,8,13290,0.9992,0.85,0.68,0.7556
qwen38_27b,FOX News,logo,23095,133,26,95,22841,0.9948,0.8365,0.5833,0.6873
qwen38_27b,FOX News,screenshot,23095,38,1,225,22831,0.9902,0.9744,0.1445,0.2517
qwen38_27b,MSNBC,logo,16338,130,11,14,16183,0.9985,0.922,0.9028,0.9123
qwen38_27b,MSNBC,screenshot,16338,93,0,6,16239,0.9996,1.0,0.9394,0.9688
qwen_all,CNN,logo,32646,56,14,113,32463,0.9961,0.8,0.3314,0.4686
qwen_all,CNN,screenshot,32646,113,13,61,32459,0.9977,0.8968,0.6494,0.7533
qwen_all,FOX News,logo,54299,459,45,251,53544,0.9945,0.9107,0.6465,0.7562
qwen_all,FOX News,screenshot,54299,176,1,361,53761,0.9933,0.9944,0.3277,0.493
qwen_all,MSNBC,logo,43149,370,14,192,42573,0.9952,0.9635,0.6584,0.7822
qwen_all,MSNBC,screenshot,43149,254,0,58,42837,0.9987,1.0,0.8141,0.8975
