model,channel,task,label,tp,fp,fn,precision,recall,f1,support
gemma_4_31b,FOX News,logo,discord,0,0,3,0.0,0.0,0.0,3
gemma_4_31b,FOX News,logo,facebook,28,7,5,0.8,0.8485,0.8235,33
gemma_4_31b,FOX News,logo,instagram,34,8,25,0.8095,0.5763,0.6733,59
gemma_4_31b,FOX News,logo,linkedin,2,0,0,1.0,1.0,1.0,2
gemma_4_31b,FOX News,logo,meta,0,0,2,0.0,0.0,0.0,2
gemma_4_31b,FOX News,logo,parler,31,0,3,1.0,0.9118,0.9538,34
gemma_4_31b,FOX News,logo,pinterest,0,0,4,0.0,0.0,0.0,4
gemma_4_31b,FOX News,logo,rumble,3,0,0,1.0,1.0,1.0,3
gemma_4_31b,FOX News,logo,snapchat,0,0,3,0.0,0.0,0.0,3
gemma_4_31b,FOX News,logo,threads,0,1,0,0.0,0.0,0.0,0
gemma_4_31b,FOX News,logo,tiktok,34,16,11,0.68,0.7556,0.7158,45
gemma_4_31b,FOX News,logo,truth social,1,0,0,1.0,1.0,1.0,1
gemma_4_31b,FOX News,logo,twitter,68,8,13,0.8947,0.8395,0.8662,81
gemma_4_31b,FOX News,logo,twitter (x),27,16,3,0.6279,0.9,0.7397,30
gemma_4_31b,FOX News,logo,youtube,0,17,2,0.0,0.0,0.0,2
gemma_4_31b,FOX News,logo,unidentified,0,0,0,0.0,0.0,0.0,0
gemma_4_31b,FOX News,logo,micro,228,73,74,0.7575,0.755,0.7562,302
gemma_4_31b,FOX News,screenshot,facebook,0,1,0,0.0,0.0,0.0,0
gemma_4_31b,FOX News,screenshot,instagram,1,6,0,0.1429,1.0,0.25,1
gemma_4_31b,FOX News,screenshot,parler,0,2,0,0.0,0.0,0.0,0
gemma_4_31b,FOX News,screenshot,tiktok,0,65,0,0.0,0.0,0.0,0
gemma_4_31b,FOX News,screenshot,truth social,1,1,0,0.5,1.0,0.6667,1
gemma_4_31b,FOX News,screenshot,twitter,33,2,0,0.9429,1.0,0.9706,33
gemma_4_31b,FOX News,screenshot,twitter (x),7,0,1,1.0,0.875,0.9333,8
gemma_4_31b,FOX News,screenshot,unidentified,0,0,0,0.0,0.0,0.0,0
gemma_4_31b,FOX News,screenshot,micro,42,77,1,0.3529,0.9767,0.5185,43
