model,channel,task,label,tp,fp,fn,precision,recall,f1,support
gemma_all,CNN,logo,discord,8,0,0,1.0,1.0,1.0,8
gemma_all,CNN,logo,meta,7,0,1,1.0,0.875,0.9333,8
gemma_all,CNN,logo,rumble,0,12,0,0.0,0.0,0.0,0
gemma_all,CNN,logo,snapchat,6,0,0,1.0,1.0,1.0,6
gemma_all,CNN,logo,tiktok,6,5,0,0.5455,1.0,0.7059,6
gemma_all,CNN,logo,truth social,16,6,0,0.7273,1.0,0.8421,16
gemma_all,CNN,logo,twitter,13,4,48,0.7647,0.2131,0.3333,61
gemma_all,CNN,logo,twitter (x),62,8,7,0.8857,0.8986,0.8921,69
gemma_all,CNN,logo,youtube,20,2,0,0.9091,1.0,0.9524,20
gemma_all,CNN,logo,unidentified,0,0,0,0.0,0.0,0.0,0
gemma_all,CNN,logo,micro,138,37,56,0.7886,0.7113,0.748,194
gemma_all,CNN,screenshot,facebook,0,4,0,0.0,0.0,0.0,0
gemma_all,CNN,screenshot,instagram,0,7,0,0.0,0.0,0.0,0
gemma_all,CNN,screenshot,parler,0,5,0,0.0,0.0,0.0,0
gemma_all,CNN,screenshot,tiktok,0,10,0,0.0,0.0,0.0,0
gemma_all,CNN,screenshot,truth social,16,14,0,0.5333,1.0,0.6957,16
gemma_all,CNN,screenshot,twitter,34,16,40,0.68,0.4595,0.5484,74
gemma_all,CNN,screenshot,twitter (x),58,0,6,1.0,0.9062,0.9508,64
gemma_all,CNN,screenshot,youtube,0,2,20,0.0,0.0,0.0,20
gemma_all,CNN,screenshot,unidentified,0,0,0,0.0,0.0,0.0,0
gemma_all,CNN,screenshot,micro,108,58,66,0.6506,0.6207,0.6353,174
gemma_all,FOX News,logo,discord,0,0,6,0.0,0.0,0.0,6
gemma_all,FOX News,logo,facebook,108,25,9,0.812,0.9231,0.864,117
gemma_all,FOX News,logo,instagram,90,19,70,0.8257,0.5625,0.6691,160
gemma_all,FOX News,logo,linkedin,2,1,0,0.6667,1.0,0.8,2
gemma_all,FOX News,logo,meta,0,0,2,0.0,0.0,0.0,2
gemma_all,FOX News,logo,parler,149,0,7,1.0,0.9551,0.977,156
gemma_all,FOX News,logo,pinterest,0,0,4,0.0,0.0,0.0,4
gemma_all,FOX News,logo,rumble,6,3,0,0.6667,1.0,0.8,6
gemma_all,FOX News,logo,snapchat,0,0,6,0.0,0.0,0.0,6
gemma_all,FOX News,logo,tiktok,89,37,25,0.7063,0.7807,0.7417,114
gemma_all,FOX News,logo,truth social,9,1,0,0.9,1.0,0.9474,9
gemma_all,FOX News,logo,twitter,183,25,15,0.8798,0.9242,0.9015,198
gemma_all,FOX News,logo,twitter (x),109,12,13,0.9008,0.8934,0.8971,122
gemma_all,FOX News,logo,youtube,0,85,2,0.0,0.0,0.0,2
gemma_all,FOX News,logo,unidentified,0,0,0,0.0,0.0,0.0,0
gemma_all,FOX News,logo,micro,745,208,159,0.7817,0.8241,0.8024,904
gemma_all,FOX News,screenshot,facebook,5,1,10,0.8333,0.3333,0.4762,15
gemma_all,FOX News,screenshot,instagram,15,15,0,0.5,1.0,0.6667,15
gemma_all,FOX News,screenshot,parler,0,14,0,0.0,0.0,0.0,0
gemma_all,FOX News,screenshot,tiktok,102,16,72,0.8644,0.5862,0.6986,174
gemma_all,FOX News,screenshot,truth social,9,2,0,0.8182,1.0,0.9,9
gemma_all,FOX News,screenshot,twitter,119,29,49,0.8041,0.7083,0.7532,168
gemma_all,FOX News,screenshot,twitter (x),40,0,4,1.0,0.9091,0.9524,44
gemma_all,FOX News,screenshot,youtube,0,1,112,0.0,0.0,0.0,112
gemma_all,FOX News,screenshot,unidentified,0,0,0,0.0,0.0,0.0,0
gemma_all,FOX News,screenshot,micro,290,78,247,0.788,0.54,0.6409,537
gemma_all,MSNBC,logo,facebook,28,1,21,0.9655,0.5714,0.7179,49
gemma_all,MSNBC,logo,instagram,3,0,0,1.0,1.0,1.0,3
gemma_all,MSNBC,logo,linkedin,0,2,0,0.0,0.0,0.0,0
gemma_all,MSNBC,logo,parler,38,0,0,1.0,1.0,1.0,38
gemma_all,MSNBC,logo,rumble,0,1,0,0.0,0.0,0.0,0
gemma_all,MSNBC,logo,threads,3,0,0,1.0,1.0,1.0,3
gemma_all,MSNBC,logo,tiktok,6,0,1,1.0,0.8571,0.9231,7
gemma_all,MSNBC,logo,truth social,14,0,0,1.0,1.0,1.0,14
gemma_all,MSNBC,logo,twitter,329,1,113,0.997,0.7443,0.8523,442
gemma_all,MSNBC,logo,twitter (x),43,8,0,0.8431,1.0,0.9149,43
gemma_all,MSNBC,logo,youtube,3,0,0,1.0,1.0,1.0,3
gemma_all,MSNBC,logo,unidentified,0,0,0,0.0,0.0,0.0,0
gemma_all,MSNBC,logo,micro,467,13,135,0.9729,0.7757,0.8632,602
gemma_all,MSNBC,screenshot,instagram,0,1,0,0.0,0.0,0.0,0
gemma_all,MSNBC,screenshot,tiktok,0,1,0,0.0,0.0,0.0,0
gemma_all,MSNBC,screenshot,truth social,14,1,0,0.9333,1.0,0.9655,14
gemma_all,MSNBC,screenshot,twitter,228,21,30,0.9157,0.8837,0.8994,258
gemma_all,MSNBC,screenshot,twitter (x),40,0,0,1.0,1.0,1.0,40
gemma_all,MSNBC,screenshot,unidentified,0,0,0,0.0,0.0,0.0,0
gemma_all,MSNBC,screenshot,micro,282,24,30,0.9216,0.9038,0.9126,312
